tripduration,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
153,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,MIT at Mass Ave / Amherst St,42.3581,-71.093198
465,Ames St at Main St,42.3625,-71.08822,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
351,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687
604,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865
276,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
182,EF - North Point Park,42.369885,-71.069957,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472
354,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
4331,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
465,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Ames St at Main St,42.3625,-71.08822
461,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865
288,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
429,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
399,Ames St at Main St,42.3625,-71.08822,Ames St at Main St,42.3625,-71.08822
2781,Ames St at Main St,42.3625,-71.08822,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
426,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Ames St at Main St,42.3625,-71.08822
319,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
299,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025
678,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
645,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,Ames St at Main St,42.3625,-71.08822
417,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
199,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945
329,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
862,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,Binney St / Sixth St,42.366095,-71.086388
1535,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070,MIT at Mass Ave / Amherst St,42.3581,-71.093198
487,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687
202,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473
950,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025
700,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
587,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,MIT at Mass Ave / Amherst St,42.3581,-71.093198
556,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
280,Kendall Street,42.363560158429900,-71.08216792345050,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472
124,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768080,-71.11714124679570
364,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070
302,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Kendall Street,42.363560158429900,-71.08216792345050
130,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,EF - North Point Park,42.369885,-71.069957
150,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865
158,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Ames St at Main St,42.3625,-71.08822
535,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
299,Alewife Station at Russell Field,42.396105,-71.139459,Rindge Avenue - O'Neill Library,42.392766,-71.129042
444,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
395,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
1400,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687
323,Ames St at Main St,42.3625,-71.08822,MIT at Mass Ave / Amherst St,42.3581,-71.093198
311,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
380,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Porter Square Station,42.387995,-71.119084
411,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427
384,Rindge Avenue - O'Neill Library,42.392766,-71.129042,Porter Square Station,42.387995,-71.119084
150,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
772,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,Ames St at Main St,42.3625,-71.08822
360,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
433,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
189,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865
283,Central Square at Mass Ave / Essex St,42.36507,-71.1031,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
