borough,zipcode,address,landuse,ownertype,lotarea,bldgarea,latitude,longitude
BK,11223,325 AVENUE Y,8,X,25800,53351,40.5882751,-73.9735369
BK,11220,6802 FT HAMILTON PARKWAY,8,C,7530,6432,40.6292271,-74.0118959
BK,11217,422 DEAN STREET,8,X,2000,2400,40.6821751,-73.9773647
BK,11217,424 DEAN STREET,8,X,6000,9000,40.6821256,-73.9772386
BK,11217, WARREN STREET,9,X,2500,0,40.6810309,-73.9793553
BK,11217, ST MARKS PLACE,9,X,4100,0,40.6812340,-73.9792615
BK,11217,98 5 AVENUE,8,X,7166,17362,40.6799959,-73.9784579
BK,11217, BALTIC STREET,10,X,6000,0,40.6801031,-73.9790347
BK,11223,2075 MCDONALD AVENUE,8,X,5275,15088,40.6020097,-73.9721882
BK,11217,66 PARK PLACE,8,X,33334,46326,40.6784859,-73.9763565
BK,11217,610 BALTIC STREET,8,C,39900,116750,40.6800457,-73.9805562
BK,11217,620 ATLANTIC AVENUE,8,X,315943,660000,40.6826797,-73.9754068
BK,11205,123 CARLTON AVENUE,10,X,2500,0,40.6940424,-73.9727196
BK,11205,127 CARLTON AVENUE,8,X,3100,5890,40.6939711,-73.9727052
BK,11205,89 CARLTON AVENUE,4,X,5000,23884,40.6950306,-73.9729140
BK,11205,105 CARLTON AVENUE,2,X,27500,81625,40.6946134,-73.9728132
BK,11205,121 NORTH PORTLAND AVE,4,O,653014,924900,40.6946605,-73.9746847
BK,11206,854 MYRTLE AVENUE,3,X,11850,42694,40.6952828,-73.9479409
BK,11206,639 WILLOUGHBY AVENUE,2,X,2000,2700,40.6947127,-73.9438772
BK,11206,150 VERNON AVENUE,8,X,8400,11525,40.6947905,-73.9458930
BK,11206,611 WILLOUGHBY AVENUE,2,X,2667,9280,40.6945897,-73.9449628
BK,11206,607 WILLOUGHBY AVENUE,2,X,2667,9280,40.6945678,-73.9451503
BK,11206,609 WILLOUGHBY AVENUE,2,X,2667,9280,40.6945788,-73.9450530
BK,11206,134 VERNON AVENUE,8,X,3411,6120,40.6946975,-73.9464845
BK,11206,162 VERNON AVENUE,2,X,1875,3152,40.6948232,-73.9453953
BK,11206,132 VERNON AVENUE,8,X,3400,6120,40.6946838,-73.9466071
BK,11206,643 WILLOUGHBY AVENUE,2,X,2945,6840,40.6947648,-73.9437438
SI,10303,3365 RICHMOND TERRACE,7,X,739180,10079,40.6425142,-74.1692744
BK,11223,1879 EAST 3 STREET,3,X,11500,36769,40.6042132,-73.9696952
BK,11223,513 AVENUE R,8,X,4289,14520,40.6049537,-73.9677502
SI,10303,100 HARBOR ROAD,8,X,17200,5280,40.6342400,-74.1606173
SI,10303,35 FEDERAL PLACE,3,X,400000,526554,40.6391037,-74.1702350
BK,11230,870 OCEAN PARKWAY,3,X,31500,127000,40.6271547,-73.9716914
BK,11230,323 ELMWOOD AVENUE,8,X,6713,17198,40.6274927,-73.9737015
BK,11206,928 MYRTLE AVENUE,4,X,17000,61125,40.6956627,-73.9446337
BK,11206,896 MYRTLE AVENUE,8,X,27500,12499,40.6955425,-73.9456832
BK,11206,601 MARCY AVENUE,2,X,5000,21750,40.6943718,-73.9487025
BK,11206,874 MYRTLE AVENUE,8,X,10000,9100,40.6953757,-73.9471295
BK,11206,65 TOMPKINS AVENUE,3,O,521950,800000,40.6969585,-73.9451484
BK,11206,11 MARCUS GARVEY BLVD,8,X,2500,4280,40.6995915,-73.9410421
BK,11206,47 MARCOUS GARVEY BLVD,3,O,504500,924915,40.6976062,-73.9394102
BK,11206,57 MARCOUS GARVEY BLVD,4,X,29400,138574,40.6974997,-73.9405030
BK,11206,808 PARK AVENUE,3,O,371700,429900,40.6972150,-73.9420359
SI,10303,3036 RICHMOND TERRACE,8,X,10000,2500,40.6373217,-74.1611255
BK,11226,157 ST PAULS PLACE,8,X,23500,28498,40.6503042,-73.9622001
BK,11216,718 ST MARKS AVENUE,3,X,5019,22368,40.6748596,-73.9494854
BK,11226,97 CROOKE AVENUE,3,X,8275,33281,40.6532028,-73.9623823
BK,11216,812 PARK PLACE,8,X,6388,6114,40.6731858,-73.9507665
BK,11216,825 STERLING PLACE,8,P,14905,28254,40.6728622,-73.9514228
BK,11216,774 PARK PLACE,8,X,6388,9414,40.6732578,-73.9521183
SI,10303,3067 RICHMOND TERRACE,8,X,9035,24390,40.6380673,-74.1618371
SI,10303, RICHMOND TERRACE,10,X,4280,0,40.6374778,-74.1614358
SI,10303, RICHMOND TERRACE,11,X,3400,0,40.6371713,-74.1607252
BK,11226,1280 FLATBUSH AVENUE,5,X,3928,6120,40.6387897,-73.9543554
SI,10303,51 GRANDVIEW AVENUE,1,X,3100,1648,40.6381428,-74.1647270
BK,11226,2323 NEWKIRK AVENUE,2,X,6004,15600,40.6396300,-73.9554141
SI,10303,146 SOUTH AVENUE,8,X,7600,2000,40.6362820,-74.1665528
BK,11216,760 PROSPECT PLACE,8,C,65800,129000,40.6739217,-73.9514437
BK,11216,761 PARK PLACE,8,X,3833,3408,40.6738123,-73.9524099
BK,11235,2900 OCEAN PARKWAY,8,X,3000,2814,40.5784804,-73.9685982
BK,11226,961 OCEAN AVENUE,8,X,4098,2322,40.6390054,-73.9585349
BK,11226,2002 DITMAS AVENUE,8,X,8370,11463,40.6392030,-73.9585564
BK,11226,600 EAST 21 STREET,3,X,17400,60318,40.6390355,-73.9581385
BK,11201,80 WILLOW STREET,2,X,1785,4520,40.6987336,-73.9953874
BK,11201,46 GRACE COURT,8,X,18669,40500,40.6939029,-73.9969853
BK,11201,49 GRACE COURT,1,X,2700,0,40.6942707,-73.9968627
BK,11226,1011 OCEAN AVENUE,2,X,9500,29400,40.6375945,-73.9583196
BK,11226,1120 FLATBUSH AVENUE,8,X,10330,8492,40.6430621,-73.9582441
BK,11201, REMSEN STREET,9,C,2776,0,40.6949652,-73.9984674
BK,11226,1144 FLATBUSH AVENUE,8,X,7350,14500,40.6423868,-73.9579022
BK,11201,132 HENRY STREET,2,X,2043,3560,40.6967326,-73.9936602
BK,11235,3100 BRIGHTON 4 STREET,8,X,8000,8260,40.5766151,-73.9634441
BK,11235,128 BRIGHTON BEACH AVE,5,P,10878,19700,40.5761139,-73.9671090
BK,11235,202 BRIGHTON BEACH AVE,8,C,4732,4732,40.5762785,-73.9666805
BK,11235,16 BRIGHTON 1 ROAD,8,C,10766,8884,40.5760672,-73.9667634
BK,11207,2929 FULTON STREET,8,X,2231,1200,40.6794729,-73.8868247
SI,10314,3460 VICTORY BOULEVARD,8,X,33500,16800,40.6029195,-74.1736252
SI,10314,10 TELEPORT DRIVE,5,C,277477,120000,40.6075786,-74.1728450
SI,10314,10 TELEPORT DRIVE,5,C,161172,80000,40.6067693,-74.1725511
BK,11225,109 MAPLE STREET,1,X,7500,4360,40.6606366,-73.9572743
BK,11225,1119 WASHINGTON AVENUE,4,X,1226,5806,40.6615710,-73.9605249
BK,11203,674 RUTLAND ROAD,1,X,6117,1260,40.6599391,-73.9384063
BK,11229,3574 NOSTRAND AVENUE,8,X,10500,43998,40.5967227,-73.9415218
BK,11203,732 FENIMORE STREET,1,O,1908,1976,40.6592362,-73.9380826
BK,11203,577 ALBANY AVENUE,4,X,1900,2090,40.6605051,-73.9394403
BK,11203,702 EAST NEW YORK AVENUE,2,X,6037,18560,40.6620393,-73.9393091
BK,11203,700 EAST NEW YORK AVENUE,2,X,5500,16468,40.6620230,-73.9395434
BK,11203,629 ALBANY AVENUE,8,X,33409,12230,40.6590525,-73.9383243
BK,11203,740 FENIMORE STREET,1,O,1908,1976,40.6592499,-73.9378700
BK,11203,728 FENIMORE STREET,1,O,1908,1976,40.6592281,-73.9382268
BK,11203,742 FENIMORE STREET,1,O,1908,1976,40.6592553,-73.9377979
BK,11203,750 FENIMORE STREET,1,O,1908,1976,40.6592689,-73.9375888
BK,11203,746 FENIMORE STREET,1,O,1908,1976,40.6592580,-73.9377258
BK,11203,726 FENIMORE STREET,1,O,1948,2080,40.6592226,-73.9382989
BK,11203,738 FENIMORE STREET,1,O,1908,1976,40.6592471,-73.9379420
BK,11203,730 FENIMORE STREET,1,O,1908,1976,40.6592335,-73.9381547
BK,11203,748 FENIMORE STREET,1,O,1908,1976,40.6592635,-73.9376573
BK,11203,736 FENIMORE STREET,1,O,1908,1976,40.6592417,-73.9380141
BK,11203,672 LEFFERTS AVENUE,8,X,2750,3720,40.6628213,-73.9388615
BK,11203,710 EAST NEW YORK AVENUE,3,O,69700,139710,40.6619867,-73.9383684
BK,11235,3161 BRIGHTON 6 STREET,3,X,30000,120000,40.5754504,-73.9606874
BK,11235,3328 CONEY ISLAND AVENUE,8,X,51000,40910,40.5755298,-73.9600502
BK,11233,2260 PACIFIC STREET,8,X,3322,6644,40.6751944,-73.9091800
BK,11233, EASTERN PARKWAY,11,X,104,0,40.6750186,-73.9089748
BK,11233,2246 PACIFIC STREET,8,X,2572,2400,40.6752278,-73.9097965
BK,11203,739 EAST NEW YORK AVENUE,8,X,17820,33600,40.6625848,-73.9380182
BK,11203,723 EAST NEW YORK AVENUE,8,X,2700,4788,40.6625331,-73.9388257
BK,11203,735 EAST NEW YORK AVENUE,11,X,6465,0,40.6625522,-73.9385013
BK,11229,3568 NOSTRAND AVENUE,11,X,4200,0,40.5969121,-73.9415576
BK,11229,3612 NOSTRAND AVENUE,5,X,15200,11612,40.5955835,-73.9413176
SI,10306, AMBOY ROAD,9,X,32000,1840,40.5566423,-74.1414295
BK,11234,5361 PRESTON COURT,6,X,25477,21687,40.6388696,-73.9238583
BK,11233,2292 ATLANTIC AVENUE,1,X,1667,2116,40.6759604,-73.9094277
BK,11233,2381 DEAN STREET,2,X,5767,22688,40.6748151,-73.9085425
BK,11234,5602 FARRAGUT ROAD,3,O,915230,987444,40.6349453,-73.9208651
BK,11239,177 VANDALIA AVENUE,10,X,67200,240000,40.6519668,-73.8834261
BK,11239,155 SCHROEDERS AVENUE,10,X,74370,155792,40.6490816,-73.8802634
BK,11239,1155 PENNSYLVANIA AVENUE,3,X,358496,997720,40.6535439,-73.8822772
BK,11239,186 VANDALIA AVENUE,10,X,77700,181274,40.6516413,-73.8818265
BK,11207, PENNSYLVANIA AVENUE,11,X,265204,0,40.6532108,-73.8839645
BK,11207,341 HIGHLAND BOULEVARD,8,X,70559,33714,40.6844389,-73.8903570
BK,11239,1540 VAN SICLEN AVENUE,3,P,854159,1420000,40.6485507,-73.8792409
BK,11207,279 HIGHLAND BOULEVARD,1,X,50031,5730,40.6833015,-73.8921111
BK,11233,1655 ST MARKS AVENUE,5,P,13415,13157,40.6734097,-73.9119511
QN,11691,BEACH 12 STREET,11,X,12678,0,40.6090844,-73.7478630
BK,11233,1847 EASTERN PARKWAY,1,X,1547,2418,40.6756358,-73.9084764
BK,11207,8 SCHENCK COURT,8,X,1600,2160,40.6814561,-73.8912091
BK,11229,3650 NOSTRAND AVENUE,8,C,14700,14800,40.5948753,-73.9411777
BK,11223,723 AVENUE Z,8,X,6000,12150,40.5867776,-73.9674025
QN,11413,147 AVENUE,11,X,260,0,40.6595278,-73.7578724
BK,11208,588 JAMAICA AVENUE,10,X,5238,0,40.6850595,-73.8822829
SI,10312, LIPSETT AVENUE,9,C,6000,0,40.5339965,-74.1741116
BK,11208,568 JAMAICA AVENUE,8,X,16300,46180,40.6848842,-73.8826330
BK,11208,184 EUCLID AVENUE,8,X,37035,20250,40.6838109,-73.8747927
SI,10312,205 ELTINGVILLE BLVD,1,X,4275,2350,40.5498006,-74.1652001
SI,10312,85 BARTLETT AVENUE,1,X,4200,2430,40.5498761,-74.1661683
BK,11208,87 RICHMOND STREET,8,X,10875,6500,40.6853558,-73.8769604
BK,11235,2548 EAST 22 STREET,1,X,2500,1236,40.5895893,-73.9478361
BK,11235,2413 EAST 23 STREET,8,X,2500,2460,40.5926905,-73.9469011
BK,11208,55 CRESCENT STREET,1,X,2240,1760,40.6881406,-73.8733206
SI,10308,210 CORBIN AVENUE,9,X,104000,2500,40.5599915,-74.1475151
SI,10308,35 GIFFORDS LANE,6,X,25600,7350,40.5521928,-74.1501608
SI,10308,25 LAMOKA AVENUE,8,X,37440,6615,40.5526798,-74.1492551
BK,11208,435 ETNA STREET,8,X,10185,4275,40.6885406,-73.8677885
QN,11367,71-40 KISSENA BOULEVARD,2,X,3654,3339,40.7284958,-73.8156241
SI,10306,196 CLARKE AVENUE,8,C,24747,7700,40.5665056,-74.1381607
SI,10308,107 DEWEY AVENUE,1,X,3440,2304,40.5561496,-74.1468697
SI,10306,3315 AMBOY ROAD,9,X,2350000,2750,40.5612734,-74.1408671
SI,10306, DINA COURT,11,X,9908,0,40.5617327,-74.1401698
SI,10308,107 JUMEL STREET,1,X,12300,1718,40.5598474,-74.1506998
SI,10308,413 CORBIN AVENUE,8,X,4000,3668,40.5654242,-74.1511767
MN,10282,201 WARREN STREET,8,O,28206,105177,40.7171475,-74.0136828
SI,10306,246 CLARKE AVENUE,1,X,13200,2000,40.5672366,-74.1396919
SI,10314, RICHMOND AVENUE,9,X,62183,0,40.5998683,-74.1635487
SI,10306,3181 AMBOY ROAD,9,X,648000,600,40.5635644,-74.1348434
SI,10306,128 ARTHUR KILL ROAD,9,X,10132,2220,40.5698134,-74.1488938
SI,10306,122 ARTHUR KILL ROAD,9,X,6920,1600,40.5699866,-74.1486854
SI,10308,30 ADRIENNE PLACE,1,M,11256,1206,40.5506750,-74.1479983
BK,11235,184 BRIGHTON 11 STREET,8,X,5000,7560,40.5786146,-73.9590260
BK,11235,98 WEST END AVENUE,8,X,2452,3600,40.5793372,-73.9537156
BK,11235,34 WEST END AVENUE,8,X,44793,116264,40.5803831,-73.9539201
BK,11235,161 CORBIN PLACE,3,X,16000,49600,40.5777700,-73.9538319
SI,10306, AMBOY ROAD,11,X,463,0,40.5552773,-74.1398144
BK,11239,1506 PENNSYLVANIA AVENUE,10,X,66000,181203,40.6446861,-73.8792443
BK,11239,1260 CROTON LOOP,3,X,618307,1493793,40.6503570,-73.8847695
BK,11226,153 WOODRUFF AVENUE,8,X,5525,6000,40.6545720,-73.9611525
BK,11225, CHESTER COURT,11,C,196,0,40.6585629,-73.9610132
BK,11225,153 OCEAN AVENUE,8,X,7500,7036,40.6591149,-73.9621591
BK,11235,156 WEST END AVENUE,3,X,26230,80390,40.5776463,-73.9534000
SI,10308,40 NASH COURT,1,X,9759,1740,40.5442173,-74.1472968
BX,10451,900 GRAND CONCOURSE,4,X,30580,276550,40.8271749,-73.9218975
SI,10308,62 HILLSIDE TERRACE,8,M,55800,13200,40.5490300,-74.1486316
SI,10308,106 HILLSIDE TERRACE,1,M,13100,1642,40.5485781,-74.1478534
SI,10308,121 CLEVELAND AVENUE,8,X,39500,4200,40.5481250,-74.1480071
SI,10308,123 CLEVELAND AVENUE,1,X,13600,1553,40.5477519,-74.1479235
